#,round_id,roundStartDate,result
1,383465,1700698177351,10.49
2,383466,1700698216522,3.14
3,383467,1700698241389,1
4,383468,1700698252726,1.1
5,383469,1700698265001,1.46
6,383470,1700698280528,2.95
7,383471,1700698304771,1.12
8,383472,1700698317414,5.22
9,383473,1700698348226,1.24
10,383474,1700698362080,3.65
11,383475,1700698388628,5.83
12,383476,1700698420910,6.82
13,383477,1700698455236,1.61
14,383478,1700698472278,1.02
15,383479,1700698483528,4.44
16,383480,1700698512491,2.03
17,383481,1700698532185,1.2
18,383482,1700698545359,1
19,383483,1700698556369,3.06
20,383484,1700698580849,1.96
21,383485,1700698600134,1.6
22,383486,1700698616844,3.07
23,383487,1700698641294,1.08
24,383488,1700698653425,1.54
25,383489,1700698669580,8.64
26,383490,1700698706526,1.28
27,383491,1700698721272,1.08
28,383492,1700698733343,1.47
29,383493,1700698749031,2.6
30,383494,1700698771562,1.88
31,383495,1700698790362,3.48
32,383496,1700698816274,5.35
33,383497,1700698847609,2.31
34,383498,1700698868744,3.6
35,383499,1700698895156,32.5
36,383500,1700698948088,21.13
37,383501,1700698995711,10.48
38,383502,1700699035113,3.2
39,383503,1700699061453,1.82
40,383504,1700699080505,51.69
41,383505,1700699138974,1.77
42,383506,1700699157266,1.2
43,383507,1700699170605,1.1
44,383508,1700699182742,1.29
45,383509,1700699196724,1.84
46,383512,1700699259837,5.41
47,383514,1700699306163,4.67
48,383515,1700699335657,1.53
49,383516,1700699352396,1.25
50,383517,1700699366208,49.41
51,383518,1700699424077,12.07
52,383519,1700699465284,1.77
53,383520,1700699483491,1.74
54,383521,1700699501220,1.07
55,383522,1700699513165,2.48
56,383523,1700699535220,8.33
57,383524,1700699571912,1.62
58,383525,1700699589105,1.47
59,383526,1700699604856,1.16
60,383527,1700699617825,1.24
61,383528,1700699631818,5.28
62,383529,1700699662891,2.98
63,383530,1700699687291,4.01
64,383531,1700699715539,2.2
65,383532,1700699736340,8.34
66,383533,1700699772871,1.41
67,383534,1700699788477,3.81
68,383535,1700699815636,20.41
69,383536,1700699863063,1.32
70,383537,1700699877683,7.46
71,383538,1700699912906,8.05
72,383539,1700699949666,20.93
73,383540,1700699997388,3.67
74,383541,1700700024265,1.14
75,383542,1700700037009,3.5
76,383544,1700700080792,10.49
77,383545,1700700120140,5.61
78,383546,1700700152090,1.08
79,383547,1700700164432,1.76
80,383548,1700700182442,1.18
81,383549,1700700195710,6.57
82,383550,1700700229296,11.33
83,383551,1700700269939,1.04
84,383552,1700700282054,7.01
85,383553,1700700316565,2
86,383554,1700700336439,1.05
87,383555,1700700348616,1.69
88,383556,1700700366323,1
89,383557,1700700377713,1.52
90,383558,1700700394292,1.22
91,383559,1700700407886,2.02
92,383560,1700700427564,3.31
93,383561,1700700453182,2.22
94,383562,1700700473961,5.3
95,383563,1700700505088,5.04
96,383564,1700700535713,6.07
97,383565,1700700568937,6.99
98,383566,1700700603481,1.45
99,383567,1700700619268,1
100,383568,1700700630537,1.51
101,383569,1700700646834,60.49
102,383570,1700700707122,4.92
103,383571,1700700737558,1.25
104,383572,1700700751675,3.12
105,383573,1700700776524,1.31
106,383574,1700700791865,21.46
107,383575,1700700839869,1.4
108,383576,1700700855781,2.87
109,383577,1700700879870,1.77
110,383578,1700700898152,1.52
111,383579,1700700915027,2.58
112,383582,1700700972877,2.78
113,383583,1700700996324,5.79
114,383584,1700701028572,213.65
115,383585,1700701104167,1.86
116,383586,1700701124115,1.77
117,383587,1700701142312,2.08
118,383588,1700701162457,4.2
119,383589,1700701190966,4.06
120,383590,1700701220906,1.38
121,383591,1700701236302,2.14
122,383592,1700701256582,2.69
123,383593,1700701279938,1.06
124,383594,1700701292180,1.84
125,383595,1700701310724,1.58
126,383597,1700701344252,9.6
127,383598,1700701382495,5.88
128,383599,1700701414942,4.76
129,383600,1700701445367,1.21
130,383601,1700701459414,1.69
131,383602,1700701477035,1.6
132,383603,1700701494002,1
133,383604,1700701505396,1.54
134,383605,1700701522131,3.93
135,383606,1700701549588,1.27
136,383607,1700701564282,3.28
137,383608,1700701589775,1.34
138,383609,1700701604664,1.33
139,383610,1700701619518,5.51
140,383611,1700701651115,7.28
141,383612,1700701686140,1.07
142,383613,1700701698552,1.54
143,383614,1700701714924,1.15
144,383615,1700701728187,7.03
145,383616,1700701762692,1.07
146,383617,1700701775245,1.49
147,383618,1700701791320,2.21
148,383619,1700701811927,15.76
149,383620,1700701856183,12.76
150,383621,1700701897903,2.36
151,383622,1700701919783,1.14
152,383624,1700701962447,2.45
153,383625,1700701984737,1.12
154,383627,1700702009548,1.51
155,383628,1700702026239,157.02
156,383629,1700702098232,1.18
157,383630,1700702111852,1
158,383631,1700702123068,1.82
159,383632,1700702141862,1.36
